Token,Num_Labels,Num_Occurrences
và,22,34884
của,22,25205
cho,22,25086
các,22,24848
được,22,21048
là,22,20727
với,22,20215
có,22,20213
trong,22,19298
không,22,16250
những,22,14454
để,22,14169
khi,22,11928
một,22,11795
nhiều,22,10151
sẽ,22,10076
đến,22,9684
đã,22,9566
bạn,22,9438
người,22,9320
từ,22,9058
vào,22,8760
sản_phẩm,21,8696
có_thể,22,8378
này,22,8113
cũng,22,8044
như,22,7926
trên,22,7277
theo,22,7123
làm,22,6983
tại,22,6818
về,22,6811
hơn,22,6790
đó,22,6752
năm,22,6660
ra,21,6613
ở,22,6496
sử_dụng,22,6447
bé,15,6180
nước,22,6104
rất,22,5725
nên,22,5540
mẹ,14,5389
ăn,20,5382
còn,22,5371
nhà,21,5342
lại,21,5324
sau,22,5302
sự,22,5249
nhất,22,5232
thì,22,5187
phải,22,4965
mà,22,4841
việc,22,4832
cao,22,4792
chỉ,22,4584
con,20,4567
việt,22,4539
giúp,21,4517
nam,22,4501
nhưng,22,4297
bị,22,4149
game,9,4065
mới,22,4026
thông_tin,22,4006
thêm,22,4006
mình,22,3978
loại,21,3879
mang,21,3841
cần,22,3827
hoặc,22,3804
ngày,22,3777
lên,22,3727
cùng,22,3700
khác,22,3592
bộ,22,3565
dùng,20,3514
hay,21,3478
tốt,21,3462
thị_trường,20,3368
bằng,21,3345
đây,21,3282
đi,22,3253
phát_triển,21,3218
đang,21,3207
tạo,22,3150
đầu_tư,21,3133
trẻ,20,3132
nếu,22,3129
màu,19,3114
da,18,3085
thời_gian,21,2966
hàng,21,2958
thiết_kế,20,2930
trước,22,2891
nhỏ,21,2840
cách,21,2820
tăng,22,2722
công_ty,21,2698
chúng_tôi,21,2689
đều,22,2685
cả,22,2667
giá,21,2626
lớn,22,2578
máy,19,2575
mọi,22,2571
biết,21,2568
vẫn,22,2566
qua,21,2530
chính,21,2513
phòng,20,2490
bên,22,2487
chơi,19,2478
món,17,2464
chất_lượng,22,2453
vì,21,2443
thương_hiệu,20,2419
tới,22,2418
tháng,22,2396
đường,21,2299
luôn,22,2298
sản_xuất,22,2297
do,22,2294
độ,21,2286
hai,21,2268
dự_án,16,2258
đầu,22,2211
lần,22,2165
sữa,14,2138
vừa,21,2108
đặc_biệt,22,2050
ngay,22,2047
an_toàn,21,2020
ngoài,21,2018
mỗi,22,2003
cung_cấp,21,1985
chưa,22,1984
khoảng,21,1931
nhau,22,1923
đồng,22,1921
mua,21,1913
số,22,1885
hoạt_động,22,1882
khách_hàng,19,1872
gây,21,1850
quá,21,1849
điều,21,1842
thấy,21,1840
xây_dựng,20,1793
nào,21,1791
khiến,20,1787
đẹp,20,1755
chống,21,1747
rồi,20,1745
giảm,22,1735
anh,22,1712
dịch_vụ,20,1706
phù_hợp,21,1673
chị,16,1664
dễ_dàng,21,1659
xem,22,1658
một_số,22,1655
ông,21,1650
thực_hiện,22,1636
doanh_nghiệp,17,1627
phần,21,1612
chiếc,19,1606
thường,21,1601
bất_động_sản,8,1601
đảm_bảo,20,1599
chất_liệu,12,1598
không_gian,16,1595
nóng,21,1579
khả_năng,21,1579
chất,19,1563
rằng,21,1538
nơi,22,1537
sạch,19,1533
gia_đình,20,1518
thứ,21,1515
đồ,19,1513
điểm,22,1509
từng,21,1494
hiệu_quả,21,1491
lựa_chọn,21,1482
giữa,21,1478
x,16,1477
thủ,13,1469
đạt,22,1465
nguồn,21,1464
dễ,22,1460
vốn,21,1451
so,22,1441
tránh,20,1435
thế_giới,21,1429
bà,20,1428
tuy_nhiên,22,1428
tay,19,1427
đưa,21,1423
gần,22,1414
hà_nội,21,1409
tính,22,1409
nhận,21,1404
hãy,19,1401
hệ_thống,22,1396
em,16,1395
tổ_chức,21,1394
thiết_bị,17,1392
bởi,21,1390
sáng,21,1389
khá,21,1387
thịt,12,1387
bán,21,1375
công_nghệ,22,1373
xe,21,1371
giữ,21,1365
thành,22,1346
rửa,12,1342
chọn,21,1335
đủ,21,1333
đối_với,21,1320
đặt,21,1317
sinh,19,1317
cao_cấp,17,1315
bình,20,1312
mức,22,1309
gì,20,1303
tuổi,20,1295
lúc,21,1287
lớp,19,1282
thực_phẩm,16,1273
hoa,20,1268
địa_chỉ,19,1254
nhu_cầu,21,1248
g,16,1248
dòng,21,1247
cô,16,1242
dưới,21,1240
ngủ,15,1237
khô,12,1232
lấy,21,1227
bệnh,16,1222
ngon,13,1211
bột,10,1204
nói,21,1202
hỗ_trợ,21,1195
hotline,11,1193
tất_cả,21,1187
dành,22,1186
m,20,1181
đông,21,1178
khu_vực,21,1177
mặt,21,1174
kích_thước,13,1174
nhanh,21,1173
thơm,13,1171
họ,20,1170
nhựa,13,1169
muốn,21,1159
trường,21,1156
sức_khỏe,19,1144
hiện_nay,22,1142
nữa,21,1138
tên,21,1130
đúng,21,1128
cấp,20,1126
tiếp_tục,21,1126
bước,20,1125
thai,10,1114
tiền,20,1110
uống,20,1102
hương,16,1097
cái,20,1097
mm,8,1094
kết_hợp,20,1092
kinh_doanh,19,1086
dài,20,1081
giao_dịch,14,1073
ý_kiến,19,1072
thích,18,1067
gửi,21,1065
quận,17,1061
khu,21,1056
ảnh,21,1056
hiện_đại,20,1055
khách,20,1053
ít,22,1050
xanh,18,1050
du_lịch,20,1050
lượng,20,1048
vệ_sinh,19,1048
bánh,15,1046
đất,20,1045
gỗ,18,1044
giờ,21,1038
phút,18,1037
email,15,1037
cm,15,1035
quá_trình,21,1027
nay,22,1025
trực_tiếp,21,1012
nó,21,1009
đơn_giản,19,1008
hướng_dẫn,19,1005
cạnh,22,1004
vải,12,1003
trắng,19,993
riêng,21,992
châu,22,989
thật,19,982
thuốc,17,979
ml,9,975
tôi,20,975
ngành,20,967
dầu,15,966
tp,20,961
quản_lý,20,958
thái,20,955
gà,14,954
hãng,17,951
quan_trọng,21,949
cơ_thể,12,948
vị,19,947
y_tế,14,941
bếp,12,938
phong_cách,18,937
yêu,17,937
thông_số,9,935
cổ_phiếu,7,923
mỹ,21,923
giá_trị,21,921
đem,20,918
kinh_tế,19,915
vấn_đề,20,913
điện,21,912
màu_sắc,13,906
đầu_tiên,21,904
nhìn,21,899
tiếng,20,898
hoàn_toàn,20,897
chứa,18,892
môi_trường,22,890
hạt,13,889
đồng_thời,21,889
khó,21,888
tham_gia,20,886
bảo_hành,10,880
mạnh,20,879
cá,14,877
thế,20,876
mở,21,876
đơn_vị,19,874
bảo_vệ,19,873
tướng,8,873
không_thể,21,871
sạc,7,871
hiện,20,870
nồi,9,870
bữa,17,869
cơ_sở,18,868
hết,21,867
bầu,13,862
usb,6,852
thành_phần,18,852
thay_đổi,21,851
tìm,21,850
nguyên_liệu,14,844
nền,20,842
vàng,20,842
chi_tiết,20,841
dây,18,841
nhà_nước,13,840
ngoài_ra,22,840
cảm_giác,20,839
nâng,20,839
căn,13,835
ảnh_hưởng,20,835
mùi,13,832
lĩnh_vực,19,832
mẫu,19,826
mất,21,823
lá,15,821
bản,21,821
làm_việc,21,818
quốc_gia,21,818
đèn,14,817
chắc_chắn,21,816
nhằm,21,812
trải,21,812
trở_thành,21,811
dù,21,809
sở_hữu,21,805
học,20,805
chiều,20,804
hấp_dẫn,20,800
cây,18,800
minh,21,799
tính_năng,13,795
phản_ánh,18,794
kem,9,794
liên_hệ,16,792
chia_sẻ,20,789
đánh_giá,21,784
kỳ,22,781
