Token,Num_Labels,Num_Occurrences
game,9,3519
bất_động_sản,7,1531
mm,8,1042
bột,9,984
ml,9,902
thông_số,9,897
sạc,7,868
usb,6,856
bảo_hành,9,833
tướng,7,801
bếp,10,783
nồi,9,766
dinh_dưỡng,9,716
kem,9,712
bhxh,3,710
loa,7,689
bền,9,659
cộng_tác,7,637
bài_vở,6,634
banbientapicomvn,6,632
vay,10,629
vitamin,8,605
căn_hộ,6,591
thủ_tướng,10,570
tắm,10,554
dặm,6,532
hương_vị,7,523
nến,8,485
lắp_đặt,10,478
nắp,8,474
thủy_tinh,9,459
khám,10,456
nội_thất,9,445
phát_điện,3,435
tín_dụng,7,432
trọng_lượng,8,427
nướng,8,427
bề_mặt,10,425
nợ,7,424
inox,6,423
dưỡng,7,414
mobile,5,413
quỹ,9,411
quần_áo,9,405
tai_nghe,4,405
rác,8,395
cán_bộ,10,395
thai_nhi,4,392
cháo,8,390
tinh_dầu,6,389
bò,10,388
bảo_hiểm_xã_hội,3,386
lãi_suất,6,385
nhân_vật,8,383
cáp,10,380
tôm,7,379
gia_vị,9,377
di_động,9,375
bú,4,374
ẩm,10,373
camera,10,372
giặt,9,369
bđs,4,366
dung_tích,7,365
đun,7,357
mềm_mại,10,355
cảm_biến,4,348
quy_hoạch,9,347
thùng,10,341
động_cơ,8,331
thìa,6,330
sôi,7,327
mỹ_phẩm,6,325
nhân_dân,9,322
váy,6,320
omron,2,315
ngâm,9,315
hạ_tầng,9,314
led,7,311
màng,9,310
nước_hoa,7,310
quý_khách,7,309
đảng,8,307
bố_mẹ,7,306
chảo,7,303
tử_cung,3,303
lít,9,301
mẫu_mã,9,299
lò,8,299
ubnd,9,295
đồ_dùng,9,294
mụn,6,291
trái_cây,9,291
gối,10,290
chiết_xuất,8,288
bảo_hiểm,9,288
bảo_an,3,288
viêm,9,287
tần,2,284
nhà_trường,8,283
nhôm,7,279
dừa,9,278
cha_mẹ,10,276
xào,9,276
quốc_hội,8,275
bộ_trưởng,10,271
dn,7,267
quạt,6,264
ma,9,264
thi_công,9,263
gừng,4,263
hưu,10,262
người_bệnh,7,262
trang_điểm,7,260
gr,7,260
mts,1,259
nàng,8,259
sensor,2,259
dạy,10,258
công_dụng,10,256
trộn,9,256
thực_khách,3,255
cao_su,8,254
tế_bào,8,253
ván,6,251
canxi,5,251
mổ,7,248
ốc,8,248
muỗng,6,247
nệm,6,246
xay,7,245
đô_thị,10,245
dung_lượng,7,244
xốp,8,243
kệ,9,243
móng,10,242
đóng_gói,10,242
lotus,5,240
phấn,8,236
sơ_sinh,8,236
hành_chính,10,235
vách,6,233
đại_lý,9,233
gamek,1,232
chén,7,230
não,9,230
ha,10,230
nhnn,3,229
nghỉ_dưỡng,7,229
nêm,5,229
ho,9,228
quý_khách_hàng,6,228
diệt,8,228
tiêm,6,227
chiến_thuật,5,225
khuẩn,8,221
phụ_huynh,7,220
giấc_ngủ,9,220
bơ,7,220
web,10,220
thoa,7,219
quần,9,219
du_khách,9,218
gam,10,218
dịu,9,217
chung_cư,8,217
trung_ương,9,216
bệnh_nhân,9,215
link,9,213
lẩu,3,213
giòn,5,211
giáo_viên,8,211
kim_loại,10,209
tel,3,209
cay,7,209
tiêu_hóa,7,208
con_gái,10,208
chuột,10,207
bluetooth,3,207
smc,2,206
chậu,9,206
ngực,9,206
dưỡng_chất,6,205
sản_phẩm_chất_liệu,3,202
mobifone,3,200
đội_hình,2,198
trận_đấu,5,197
decal,2,196
chiên,9,195
luộc,7,195
khỏe_mạnh,10,194
đối_thủ,10,191
thực_đơn,5,191
chanh,8,190
vi_sóng,3,189
khóc,7,188
chiến_đấu,8,187
hz,3,187
ngân_sách,9,187
tỉ,8,186
kw,3,186
đc,10,186
đồng_chí,5,186
huy_động,10,186
nghị_quyết,9,184
mật_ong,7,183
viễn_thông,8,183
hấp,5,183
pc,6,181
cương,7,181
chịu_nhiệt,4,180
tẩy,9,179
vi_khuẩn,8,179
bhyt,3,179
viettel,5,179
băm,3,179
tỏi,4,178
biệt_thự,8,177
đồ_họa,4,177
vui_lòng,10,177
chính_trị,9,176
đậy,7,175
kẹo,6,175
honda,8,174
đặc,10,173
ớt,6,173
dân_số,10,173
pp,6,172
lát,10,172
group,10,172
đẻ,8,171
locklock,2,170
nhập_vai,2,169
sườn,9,169
đường_kính,8,168
cài_đặt,7,168
hành_khách,6,167
massage,6,167
vận_tải,10,167
cà_rốt,4,167
chuối,9,166
dễ_chịu,10,166
ủy_ban,9,166
ướp,5,166
lực_lượng,9,165
micro,4,164
cổ_phiếu,6,163
drap,1,163
chần,5,163
xịt,7,162
côn_trùng,7,162
city,7,162
nghèo,10,160
khử,9,160
tương_thích,5,160
bảo_hiểm_tế,4,160
mặt_nạ,8,160
mọc,10,160
cọ,7,159
gia_dụng,6,159
tinh_chất,5,158
dê,9,158
thần,8,158
cúm,7,157
