Token,Num_Labels,Num_Occurrences
bhxh,4,2471
bất_động_sản,11,1588
bột,11,1262
thai,11,1051
bhyt,4,1047
căn_hộ,10,1031
ml,11,821
nồi,11,798
thông_số,9,768
usb,4,742
kem,11,737
sạc,10,734
dinh_dưỡng,10,734
bảo_hành,10,682
tướng,9,670
vitamin,8,636
thủ_tướng,11,618
hương_vị,7,586
cộng_tác,9,546
bài_vở,8,540
banbientapicomvn,7,539
loa,10,518
lãi_suất,8,498
dưỡng,10,491
thuê_bao,5,491
giáo_viên,11,479
váy,8,479
gia_vị,8,479
nướng,9,477
du_khách,10,472
dặm,7,460
bệnh_nhân,9,454
hạ_tầng,10,451
mỹ_phẩm,8,450
bảo_hiểm_xã_hội,4,447
viễn_thông,9,443
nắp,10,437
nhà_trường,10,423
tín_dụng,11,417
cổ_phiếu,9,416
nến,8,402
người_bệnh,6,398
mì,11,398
thủy_tinh,11,396
muỗng,6,390
quy_hoạch,10,388
trọng_lượng,11,385
xào,10,384
nhân_dân,11,383
tai_nghe,5,378
bú,5,377
đun,9,371
inox,8,367
viettel,4,364
cháu,11,361
bộ_trưởng,10,361
cháo,10,358
gr,8,356
phát_điện,4,356
sôi,8,351
thìa,7,351
trung_ương,11,351
mobile,7,347
bđs,4,345
thai_nhi,5,341
cảm_biến,5,339
năm_học,6,338
chảo,9,335
giòn,6,335
hành_chính,11,334
trái_cây,10,333
nghỉ_dưỡng,9,330
tinh_dầu,5,328
led,11,328
dung_tích,10,327
phó,11,323
ẩm_thực,10,322
giặt,9,322
đảng,10,322
khai_giảng,3,321
quốc_hội,8,321
dn,8,321
hành_khách,7,316
dừa,10,311
gừng,6,310
trang_điểm,8,307
mụn,7,305
ớt,10,301
luộc,8,301
tiêm,7,300
chiết_xuất,8,300
chung_cư,8,298
trận_đấu,9,292
nước_hoa,7,291
ốc,8,290
tử_cung,3,289
tế_bào,9,287
nhnn,3,287
hội_đồng,11,285
ngực,11,284
nghị_quyết,10,282
viêm,10,281
đồ_dùng,10,278
quần,11,277
nêm,6,276
cay,8,272
omron,2,270
tiểu_học,7,267
cảnh_sát,10,266
nhôm,11,265
lực_lượng,11,264
biệt_thự,8,264
xay,10,263
quý_khách,7,262
mts,1,259
cải_cách,11,259
sensor,2,259
phòng_chống,11,257
thanh_tra,11,255
ván,9,255
bơ,7,253
nàng,10,253
thpt,11,252
quạt,8,252
heo,10,251
tỏi,5,250
tần,6,249
tài_xế,7,245
vách,7,244
thực_khách,4,243
sơ_sinh,7,242
dung_lượng,8,241
tiện_dụng,11,241
cao_su,11,240
đường_sắt,10,239
cầu_thủ,10,239
phẫu_thuật,10,237
bảo_an,5,236
gdđt,7,236
hiv,3,236
chén,8,236
hlv,8,235
giám_định,5,234
canxi,7,231
dưỡng_chất,6,231
man,7,231
kệ,9,230
xốp,11,228
